,current_nA,time_s,substrate_reference_mM,SMA_10
360,0.55427,360,0.0,0.0
361,0.6294250000000001,361,0.0,0.0
362,0.47911400000000004,362,0.0,0.0
363,0.620031,363,0.0,0.0
364,0.563664,364,0.0,0.0
365,0.507298,365,0.0,0.0
366,0.488509,366,0.0,0.0
367,0.46972,367,0.0,0.0
368,0.48381175000000004,368,0.0,0.0
369,0.46972,369,0.0,0.0
370,0.507298,370,0.0,0.0
371,0.450931,371,0.0,0.0
372,0.591847,372,0.0,0.0
373,0.526086,373,0.0,0.0
374,0.544875,374,0.0,0.0
375,0.55427,375,0.0,0.0
376,0.573058,376,0.0,0.0
377,0.563664,377,0.0,0.0
378,0.5519207500000001,378,0.0,0.0
379,0.544875,379,0.0,0.0
380,0.526086,380,0.0,0.0
381,0.55427,381,0.0,0.0
382,0.507298,382,0.0,0.0
383,0.6106360000000001,383,0.0,0.0
384,0.488509,384,0.0,0.0
385,0.55427,385,0.0,0.0
386,0.6012419999999999,386,0.0,0.0
387,0.526086,387,0.0,0.0
388,0.488509,388,0.0,0.0
389,0.526086,389,0.0,0.0
390,0.47911400000000004,390,0.0,0.0
391,0.544875,391,0.0,0.0
392,0.544875,392,0.0,0.0
393,0.54017775,393,0.0,0.0
394,0.49790300000000004,394,0.0,0.0
395,0.573058,395,0.0,0.0
396,0.507298,396,0.0,0.0
397,0.5026005,397,0.0,0.0
398,0.46972,398,0.0,0.0
399,0.46032600000000007,399,0.0,0.0
400,0.43683975,400,0.0,0.0
401,0.403959,401,0.0,0.0
402,0.413354,402,0.0,0.0
403,0.450931,403,0.0,0.0
404,0.507298,404,0.0,0.0
405,0.46972,405,0.0,0.0
406,0.38517,406,0.0,0.0
407,0.6482140000000001,407,0.0,0.0
408,0.46032600000000007,408,0.0,0.0
409,0.5354810000000001,409,0.0,0.0
410,0.46032600000000007,410,0.0,0.0
411,0.5354810000000001,411,0.0,0.0
412,0.488509,412,0.0,0.0
413,0.441537,413,0.0,0.0
414,0.403959,414,0.0,0.0
415,0.526086,415,0.0,0.0
416,0.403959,416,0.0,0.0
417,0.49790300000000004,417,0.0,0.0
418,0.5354810000000001,418,0.0,0.0
419,0.507298,419,0.0,0.0
420,0.450931,420,0.0,0.0
421,0.582453,421,0.0,0.0
422,0.36638100000000007,422,0.0,0.0
423,0.5354810000000001,423,0.0,0.0
424,0.46032600000000007,424,0.0,0.0
425,0.450931,425,0.0,0.0
426,0.46972,426,0.0,0.0
427,0.432142,427,0.0,0.0
428,0.46032600000000007,428,0.0,0.0
429,0.46972,429,0.0,0.0
430,0.441537,430,0.0,0.0
431,0.591847,431,0.0,0.0
432,0.413354,432,0.0,0.0
433,0.526086,433,0.0,0.0
434,0.432142,434,0.0,0.0
435,0.356987,435,0.0,0.0
436,0.46972,436,0.0,0.0
437,0.338198,437,0.0,0.0
438,0.413354,438,0.0,0.0
439,0.441537,439,0.0,0.0
440,0.46972,440,0.0,0.0
441,0.46032600000000007,441,0.0,0.0
442,0.49790300000000004,442,0.0,0.0
443,0.49790300000000004,443,0.0,0.0
444,0.422748,444,0.0,0.0
445,0.526086,445,0.0,0.0
446,0.31940900000000005,446,0.0,0.0
447,0.403959,447,0.0,0.0
448,0.356987,448,0.0,0.0
449,0.36638100000000007,449,0.0,0.0
450,0.441537,450,0.0,0.0
451,0.38517,451,0.0,0.0
452,0.49790300000000004,452,0.0,0.0
453,0.488509,453,0.0,0.0
454,0.47206875000000004,454,0.0,0.0
455,0.46032600000000007,455,0.0,0.0
456,0.441537,456,0.0,0.0
457,0.49790300000000004,457,0.0,0.0
458,0.403959,458,0.0,0.0
459,0.507298,459,0.0,0.0
460,0.49790300000000004,460,0.0,0.0
461,0.488509,461,0.0,0.0
462,0.450931,462,0.0,0.0
463,0.49790300000000004,463,0.0,0.0
464,0.39456500000000005,464,0.0,0.0
465,0.37577600000000005,465,0.0,0.0
466,0.413354,466,0.0,0.0
467,0.36638100000000007,467,0.0,0.0
468,0.488509,468,0.0,0.0
469,0.39456500000000005,469,0.0,0.0
470,0.30062099999999997,470,0.0,0.0
471,0.34759300000000004,471,0.0,0.0
472,0.39456500000000005,472,0.0,0.0
473,0.356987,473,0.0,0.0
474,0.32880400000000004,474,0.0,0.0
475,0.36638100000000007,475,0.0,0.0
476,0.272437,476,0.0,0.0
477,0.39456500000000005,477,0.0,0.0
478,0.31940900000000005,478,0.0,0.0
479,0.413354,479,0.0,0.0
480,0.31001500000000004,480,0.0,0.0
481,0.507298,481,0.0,0.0
482,0.422748,482,0.0,0.0
483,0.450931,483,0.0,0.0
484,0.441537,484,0.0,0.0
485,0.46972,485,0.0,0.0
486,0.47911400000000004,486,0.0,0.0
487,0.40395900000000007,487,0.0,0.0
488,0.32880400000000004,488,0.0,0.0
489,0.338198,489,0.0,0.0
490,0.356987,490,0.0,0.0
491,0.422748,491,0.0,0.0
492,0.488509,492,0.0,0.0
493,0.37577600000000005,493,0.0,0.0
494,0.488509,494,0.0,0.0
495,0.31940900000000005,495,0.0,0.0
496,0.39456500000000005,496,0.0,0.0
497,0.291226,497,0.0,0.0
498,0.31001500000000004,498,0.0,0.0
499,0.38517,499,0.0,0.0
500,0.450931,500,0.0,0.0
501,0.36638100000000007,501,0.0,0.0
502,0.37577600000000005,502,0.0,0.0
503,0.38986750000000003,503,0.0,0.0
504,0.403959,504,0.0,0.0
505,0.413354,505,0.0,0.0
506,0.37577600000000005,506,0.0,0.0
507,0.338198,507,0.0,0.0
508,0.38517,508,0.0,0.0
509,0.32880400000000004,509,0.0,0.0
510,0.432142,510,0.0,0.0
511,0.39456500000000005,511,0.0,0.0
512,0.338198,512,0.0,0.0
513,0.46032600000000007,513,0.0,0.0
514,0.281832,514,0.0,0.0
515,0.432142,515,0.0,0.0
516,0.356987,516,0.0,0.0
517,0.46972,517,0.0,0.0
518,0.338198,518,0.0,0.0
519,0.37577600000000005,519,0.0,0.0
520,0.34759300000000004,520,0.0,0.0
521,0.356987,521,0.0,0.0
522,0.338198,522,0.0,0.0
523,0.31940900000000005,523,0.0,0.0
524,0.441537,524,0.0,0.0
525,0.36638100000000007,525,0.0,0.0
526,0.413354,526,0.0,0.0
527,0.403959,527,0.0,0.0
528,0.34759300000000004,528,0.0,0.0
529,0.31940900000000005,529,0.0,0.0
530,0.35228975,530,0.0,0.0
531,0.37577600000000005,531,0.0,0.0
532,0.36638100000000007,532,0.0,0.0
